time	force
0.000000000000000e+00	2.938201129400000e-01
3.361101495100000e-03	2.938201129400000e-01
6.722202990200000e-03	2.938201129400000e-01
1.008330471800000e-02	2.938201129400000e-01
1.344440598000000e-02	2.938201129400000e-01
1.680550724300000e-02	2.938201129400000e-01
2.016660943600000e-02	2.938201129400000e-01
2.352770976700000e-02	2.938201129400000e-01
2.688881196100000e-02	2.938201129400000e-01
3.024991415400000e-02	2.938201129400000e-01
3.361101448500000e-02	2.938201129400000e-01
3.697211667900000e-02	2.938201129400000e-01
4.033321887300000e-02	2.938201129400000e-01
4.369432106600000e-02	2.938201129400000e-01
4.705541953400000e-02	2.938201129400000e-01
5.041652172800000e-02	2.938201129400000e-01
5.377762392200000e-02	2.938201129400000e-01
5.713872611500000e-02	2.938201129400000e-01
6.049982830900000e-02	2.938201129400000e-01
6.386093050199999e-02	2.938201129400000e-01
6.722202897100001e-02	2.938201129400000e-01
7.058312743900000e-02	2.938201129400000e-01
7.394423335800000e-02	2.938201129400000e-01
7.730533182600000e-02	2.938201129400000e-01
8.066643774500000e-02	2.938201129400000e-01
8.402753621300001e-02	2.938201129400000e-01
8.738864213200000e-02	2.938201129400000e-01
9.074974060100000e-02	2.938201129400000e-01
9.411083906900000e-02	2.941004931900000e-01
9.747194498800001e-02	3.014215230900000e-01
1.008330434600000e-01	3.503348231300000e-01
1.041941493700000e-01	5.036697983700000e-01
1.075552478400000e-01	7.732306718800001e-01
1.109163537600000e-01	1.093680739400000e+00
1.142774522300000e-01	1.415964841800000e+00
1.176385507000000e-01	1.724967002900000e+00
1.209996566200000e-01	2.017234563800000e+00
1.243607550900000e-01	2.292871475200000e+00
1.277218610000000e-01	2.552999258000000e+00
1.310829520200000e-01	2.798946857500000e+00
1.344440579400000e-01	3.031993389100000e+00
1.378051638600000e-01	3.253292322200000e+00
1.411662548800000e-01	3.463860750200000e+00
1.445273608000000e-01	3.664590120300000e+00
1.478884667200000e-01	3.856261253400000e+00
1.512495726300000e-01	4.039559841200000e+00
1.546106636500000e-01	4.214238166800000e+00
1.579717695700000e-01	4.377893924700000e+00
1.613328754900000e-01	4.531603336300000e+00
1.646939665100000e-01	4.676547050500000e+00
1.680550724300000e-01	4.813691139200000e+00
1.714161783500000e-01	4.943838596300000e+00
1.747772842600000e-01	5.067665576900000e+00
1.781383752800000e-01	5.185747146600000e+00
1.814994812000000e-01	5.298579216000000e+00
1.848605871200000e-01	5.406590461700000e+00
1.882216781400000e-01	5.510155677800000e+00
1.915827840600000e-01	5.609606266000000e+00
1.949438899800000e-01	5.705233573900000e+00
1.983049958900000e-01	5.797298431400000e+00
2.016660869100000e-01	5.886034011800000e+00
2.050271928300000e-01	5.971650123600000e+00
2.083882987500000e-01	6.054336071000000e+00
2.117493897700000e-01	6.134263515500000e+00
2.151104956900000e-01	6.211588859600000e+00
2.184716016100000e-01	6.286454677600000e+00
2.218327075200000e-01	6.358992099800000e+00
2.251937985400000e-01	6.429320812200000e+00
2.285549044600000e-01	6.497552394900000e+00
2.319160103800000e-01	6.563787937200000e+00
2.352771014000000e-01	6.628122806500000e+00
