time	q
0.000000000000000e+00	5.000000000000000e-03
2.329844157631534e-03	5.000000000000000e-03
4.659688315263068e-03	5.000000000000000e-03
6.989532472894602e-03	5.000000000000000e-03
9.319376630526136e-03	5.000000000000000e-03
1.164922078815767e-02	5.000000000000000e-03
1.397906494578920e-02	5.000000000000000e-03
1.630890910342074e-02	5.000000000000000e-03
1.863875326105227e-02	5.000000000000000e-03
2.096859741868380e-02	5.000000000000000e-03
2.329844157631534e-02	5.000000000000000e-03
2.562828573394687e-02	5.000000000000000e-03
2.795812989157841e-02	5.000000000000000e-03
3.028797404920994e-02	5.000000000000000e-03
3.261781820684147e-02	5.000000000000000e-03
3.494766236447301e-02	5.000000000000000e-03
3.727750652210454e-02	5.000000000000000e-03
3.960735067973607e-02	5.000000000000000e-03
4.193719483736760e-02	5.000000000000000e-03
4.426703899499913e-02	5.000000000000000e-03
4.659688315263066e-02	5.000000000000000e-03
4.892672731026219e-02	5.000000000000000e-03
5.125657146789372e-02	5.000000000000000e-03
5.358641562552525e-02	5.000000000000000e-03
5.591625978315679e-02	5.000000000000000e-03
5.824610394078832e-02	5.000000000000000e-03
6.057594809841985e-02	5.000000000000000e-03
6.290579225605138e-02	5.000000000000000e-03
6.523563641368291e-02	5.000000000000000e-03
6.756548057131444e-02	5.000000000000000e-03
6.989532472894597e-02	5.000000000000000e-03
7.222516888657750e-02	5.000000000000000e-03
7.455501304420903e-02	5.000000000000000e-03
7.688485720184056e-02	5.000000000000000e-03
7.921470135947209e-02	5.000000000000000e-03
8.154454551710362e-02	5.000000000000000e-03
8.387438967473515e-02	5.000000000000000e-03
8.620423383236668e-02	5.000000000000000e-03
8.853407798999821e-02	5.000000000000000e-03
9.086392214762974e-02	5.000000000000000e-03
9.319376630526127e-02	5.001012721139977e-03
9.552361046289280e-02	5.027163856114893e-03
9.785345462052433e-02	5.213727418466197e-03
1.001832987781560e-01	5.968841879896629e-03
1.025131429357870e-01	8.190673754124337e-03
1.048429870934190e-01	1.350559615159653e-02
1.071728312510500e-01	2.343477707613125e-02
1.095026754086820e-01	3.822773716601564e-02
1.118325195663140e-01	5.802910411405268e-02
1.141623637239450e-01	8.254017945663220e-02
1.164922078815770e-01	1.110839210212620e-01
1.188220520392080e-01	1.427222612726860e-01
1.211518961968400e-01	1.763984511079830e-01
1.234817403544710e-01	2.110713286288100e-01
1.258115845121030e-01	2.458165842392840e-01
1.281414286697340e-01	2.798849515438350e-01
1.304712728273660e-01	3.127205959536910e-01
1.328011169849970e-01	3.439504849348600e-01
1.351309611426290e-01	3.733571593348930e-01
1.374608053002600e-01	4.008452558017660e-01
1.397906494578920e-01	4.264087122036960e-01
1.421204936155240e-01	4.501023734910020e-01
1.444503377731550e-01	4.720193618518370e-01
1.467801819307870e-01	4.922741466191590e-01
1.491100260884180e-01	5.109905451159920e-01
1.514398702460500e-01	5.282936515231270e-01
1.537697144036810e-01	5.443047165124760e-01
1.560995585613130e-01	5.591381429508430e-01
1.584294027189440e-01	5.728999385055730e-01
1.607592468765760e-01	5.856871318808460e-01
1.630890910342070e-01	5.975877983446590e-01
1.654189351918390e-01	6.086814485133200e-01
1.677487793494700e-01	6.190396147920120e-01
1.700786235071020e-01	6.287265274825000e-01
1.724084676647340e-01	6.377998126528710e-01
1.747383118223650e-01	6.463111710521749e-01
1.770681559799970e-01	6.543070153500290e-01
1.793980001376280e-01	6.618290545910650e-01
1.817278442952600e-01	6.689148220186349e-01
1.840576884528910e-01	6.755981467879240e-01
1.863875326105230e-01	6.819095725582570e-01
1.887173767681540e-01	6.878767272103870e-01
1.910472209257860e-01	6.935246484340130e-01
1.933770650834170e-01	6.988760699750450e-01
1.957069092410490e-01	7.039516731167740e-01
1.980367533986810e-01	7.087703076185510e-01
2.003665975563120e-01	7.133491859272040e-01
2.026964417139440e-01	7.177040540568310e-01
