time	force
0.000000000000000e+00	1.602008938800000e+00
2.739682793600000e-03	1.602008938800000e+00
5.479365587200000e-03	1.602008938800000e+00
8.219048380900000e-03	1.602008938800000e+00
1.095873117400000e-02	1.602008938800000e+00
1.369841396800000e-02	1.602008938800000e+00
1.643809676200000e-02	1.602008938800000e+00
1.917777955500000e-02	1.602008938800000e+00
2.191746234900000e-02	1.602008938800000e+00
2.465714514300000e-02	1.602008938800000e+00
2.739682793600000e-02	1.602008938800000e+00
3.013651073000000e-02	1.602008938800000e+00
3.287619352300000e-02	1.602008938800000e+00
3.561587631700000e-02	1.602008938800000e+00
3.835555911100000e-02	1.602008938800000e+00
4.109524190400000e-02	1.602008938800000e+00
4.383492469800000e-02	1.602008938800000e+00
4.657460749100000e-02	1.602008938800000e+00
4.931429028500000e-02	1.602008938800000e+00
5.205397307900000e-02	1.602008938800000e+00
5.479365587200000e-02	1.602008938800000e+00
5.753333866600000e-02	1.602008938800000e+00
6.027302146000000e-02	1.602008938800000e+00
6.301270425300000e-02	1.602008938800000e+00
6.575238704700000e-02	1.602008938800000e+00
6.849206984000000e-02	1.602008938800000e+00
7.123175263400000e-02	1.602008938800000e+00
7.397143542800000e-02	1.602008938800000e+00
7.671111822100000e-02	1.602008938800000e+00
7.945080101500000e-02	1.602008938800000e+00
8.219048380900000e-02	1.602008938800000e+00
8.493016660200001e-02	1.602008938800000e+00
8.766984939600000e-02	1.602008938800000e+00
9.040953218900000e-02	1.602008938800000e+00
9.314921498299999e-02	1.602033734300000e+00
9.588889777700001e-02	1.602848291400000e+00
9.862858057000000e-02	1.609936356500000e+00
1.013682633600000e-01	1.641927957500000e+00
1.041079461600000e-01	1.732260227200000e+00
1.068476289500000e-01	1.907014012300000e+00
1.095873117400000e-01	2.160627841900000e+00
1.123269945400000e-01	2.473878145200000e+00
1.150666773300000e-01	2.829518079800000e+00
1.178063601300000e-01	3.214609384500000e+00
1.205460429200000e-01	3.620034933100000e+00
1.232857257100000e-01	4.039371013600000e+00
1.260254085100000e-01	4.467904090900000e+00
1.287650913000000e-01	4.901935577400000e+00
1.315047740900000e-01	5.338263034800000e+00
1.342444568900000e-01	5.773797035200000e+00
1.369841396800000e-01	6.206139087700000e+00
1.397238224700000e-01	6.633579731000000e+00
1.424635052700000e-01	7.054917812300000e+00
1.452031880600000e-01	7.469320297200000e+00
1.479428708600000e-01	7.876225948300000e+00
1.506825536500000e-01	8.275272369400000e+00
1.534222364400000e-01	8.666242599500000e+00
1.561619192400000e-01	9.049032211300000e+00
1.589016020300000e-01	9.423611640900001e+00
1.616412848200000e-01	9.790016174300000e+00
1.643809676200000e-01	1.014832019800000e+01
1.671206504100000e-01	1.049863338500000e+01
1.698603332000000e-01	1.084108638800000e+01
1.726000160000000e-01	1.117582798000000e+01
1.753396987900000e-01	1.150301551800000e+01
1.780793815900000e-01	1.182281494100000e+01
1.808190643800000e-01	1.213539695700000e+01
1.835587471700000e-01	1.244093418100000e+01
1.862984299700000e-01	1.273959922800000e+01
1.890381127600000e-01	1.303156280500000e+01
1.917777955500000e-01	1.331699562100000e+01
1.945174783500000e-01	1.359606361400000e+01
1.972571611400000e-01	1.386893177000000e+01
1.999968439300000e-01	1.413576030700000e+01
2.027365267300000e-01	1.439670562700000e+01
2.054762095200000e-01	1.465191936500000e+01
2.082158923100000e-01	1.490155124700000e+01
2.109555751100000e-01	1.514574527700000e+01
2.136952579000000e-01	1.538464164700000e+01
2.164349407000000e-01	1.561837673200000e+01
2.191746234900000e-01	1.584708309200000e+01
2.219143062800000e-01	1.607088661200000e+01
2.246539890800000e-01	1.628991508500000e+01
2.273936718700000e-01	1.650428772000000e+01
2.301333546600000e-01	1.671412086500000e+01
2.328730374600000e-01	1.691952705400000e+01
2.356127202500000e-01	1.712061882000000e+01
2.383524030400000e-01	1.731750106800000e+01
2.410920858400000e-01	1.751027870200000e+01
2.438317686300000e-01	1.769904899600000e+01
2.465714514300000e-01	1.788391113300000e+01
2.493111342200000e-01	1.806496048000000e+01
2.520508170100000e-01	1.824228668200000e+01
2.547904849100000e-01	1.841597938500000e+01
2.575301826000000e-01	1.858612442000000e+01
2.602698504900000e-01	1.875280571000000e+01
2.630095481900000e-01	1.891610336300000e+01
2.657492160800000e-01	1.907609748800000e+01
2.684889137700000e-01	1.923286628700000e+01
2.712285816700000e-01	1.938648033100000e+01
2.739682793600000e-01	1.953701591500000e+01
2.767079472500000e-01	1.968453979500000e+01
2.794476449500000e-01	1.982912254300000e+01
2.821873128400000e-01	1.997083091700000e+01
2.849270105400000e-01	2.010972785900000e+01
2.876666784300000e-01	2.024587822000000e+01
2.904063761200000e-01	2.037934303300000e+01
2.931460440200000e-01	2.051017952000000e+01
