time	vel
0.000000000000000e+00	0.000000000000000e+00
1.801714300999999e-03	5.874242051500000e-04
3.603395075000002e-03	1.933757797800000e-03
5.404975265000000e-03	3.966874908700000e-03
7.206335664000002e-03	6.597351282800000e-03
9.007334709000003e-03	9.722252376400000e-03
1.080781221400000e-02	1.322955824400000e-02
1.260756701300000e-02	1.700286939700000e-02
1.440639793900000e-02	2.092604711700000e-02
1.620408892700000e-02	2.488746680300000e-02
1.800043881000001e-02	2.878364734400000e-02
1.979522407100000e-02	3.252210840600000e-02
2.158824354400000e-02	3.602337464700000e-02
2.337931841599999e-02	3.922214731600000e-02
2.516827732300000e-02	4.206771776100000e-02
2.695495635300001e-02	4.452374205000000e-02
2.873923629500000e-02	4.656747356100000e-02
3.052101284300000e-02	4.818864911800000e-02
3.230019658800000e-02	4.938810318700000e-02
3.407672792700001e-02	5.017625168000000e-02
3.585056960600000e-02	5.057153105700000e-02
3.762169927400000e-02	5.059888213900000e-02
3.939013183100000e-02	5.028831213700000e-02
4.115587472899999e-02	4.967357218300000e-02
4.291897267100001e-02	4.879096895500000e-02
4.467947780700000e-02	4.767834022600000e-02
4.643744230700000e-02	4.637414217000000e-02
4.819295555700000e-02	4.491670057200000e-02
4.994608461699999e-02	4.334354773200000e-02
5.169691890700000e-02	4.169089347100000e-02
5.344554781700001e-02	3.999315202200000e-02
5.519207566700000e-02	3.828256949800000e-02
5.693657696700000e-02	3.658891841800000e-02
5.867915600700001e-02	3.493921831300000e-02
6.041989475700001e-02	3.335751965600000e-02
6.215888261700001e-02	3.186476230600000e-02
6.389620154700000e-02	3.047860972600000e-02
6.563191860700000e-02	2.921340242000000e-02
6.736610829700000e-02	2.808009833100000e-02
6.909882277700000e-02	2.708628960000000e-02
7.083012163700000e-02	2.623626776000000e-02
7.256005704700000e-02	2.553112246100000e-02
7.428865134700000e-02	2.496891468800000e-02
7.601594924700000e-02	2.454488538200000e-02
7.774196564700001e-02	2.425170876100000e-02
7.946671545700001e-02	2.407980337700000e-02
8.119021355700001e-02	2.401766181000000e-02
8.291245996700000e-02	2.405221946500000e-02
8.463345467700001e-02	2.416922524600000e-02
8.635319769700001e-02	2.435364015400000e-02
8.807168900699999e-02	2.459001354900000e-02
8.978888392699999e-02	2.486284636000000e-02
9.150481223699999e-02	2.515695244100000e-02
9.321941435700001e-02	2.545775473100000e-02
9.493272006700001e-02	2.575157769000000e-02
9.664468467699999e-02	2.602586895200000e-02
9.835529327699999e-02	2.626939863000000e-02
1.000645607670000e-01	2.647239901100000e-02
1.017724573570000e-01	2.662665769500000e-02
1.034789830470000e-01	2.672558650400000e-02
1.051841378170000e-01	2.676421590100000e-02
1.068879067870000e-01	2.673918940100000e-02
1.085903048470000e-01	2.664869837500000e-02
1.102913320070000e-01	2.649240568300000e-02
1.119910031570000e-01	2.627133578100000e-02
1.136893182970000e-01	2.598775737000000e-02
1.153863072370000e-01	2.564503811300000e-02
1.170819848770000e-01	2.524751238500000e-02
1.187763661170000e-01	2.480031922500000e-02
1.204694807570000e-01	2.430925332000000e-02
1.221613585970000e-01	2.378061600000000e-02
1.238520145370000e-01	2.322105877100000e-02
1.255414932970000e-01	2.263744548000000e-02
1.272298097570000e-01	2.203671075400000e-02
1.289170086370000e-01	2.142573706800000e-02
1.306031048270000e-01	2.081122808200000e-02
1.322881579370000e-01	2.019960805800000e-02
1.339721828670000e-01	1.959691941700000e-02
1.356551945170000e-01	1.900873705700000e-02
1.373372524970000e-01	1.844010129600000e-02
1.390183866070000e-01	1.789545454100000e-02
1.406985968370000e-01	1.737859472600000e-02
1.423779278970000e-01	1.689263992000000e-02
1.440564095970000e-01	1.644001714900000e-02
1.457340419270000e-01	1.602244749700000e-02
1.474108844970000e-01	1.564095541800000e-02
1.490869224070000e-01	1.529589016000000e-02
1.507621854570000e-01	1.498694624800000e-02
1.524367034470000e-01	1.471321750400000e-02
1.541104614770000e-01	1.447323523500000e-02
1.557835042470000e-01	1.426503248500000e-02
1.574558168670000e-01	1.408620737500000e-02
1.591274142270000e-01	1.393399015100000e-02
1.607983261370000e-01	1.380532234900000e-02
1.624685227870000e-01	1.369692571500000e-02
1.641380339870000e-01	1.360538322500000e-02
1.658068746370000e-01	1.352720893900000e-02
1.674750149270000e-01	1.345892250500000e-02
1.691424846670000e-01	1.339711621400000e-02
1.708092838570000e-01	1.333851460400000e-02
1.724754124870000e-01	1.328003406500000e-02
1.741408556670000e-01	1.321883034000000e-02
1.758056581070000e-01	1.315233856400000e-02
1.774697899870000e-01	1.307830866400000e-02
1.791332662070000e-01	1.299482677100000e-02
1.807960867870000e-01	1.290033757700000e-02
1.824582666170000e-01	1.279364805700000e-02
1.841197907970000e-01	1.267393026500000e-02
1.857806891170000e-01	1.254071667800000e-02
1.874409615970000e-01	1.239388529200000e-02
1.891006082270000e-01	1.223364379300000e-02
1.907596439170000e-01	1.206050440700000e-02
1.924180835470000e-01	1.187525503300000e-02
1.940759122370000e-01	1.167892944100000e-02
1.957331597770000e-01	1.147277094400000e-02
1.973898410770000e-01	1.125819981100000e-02
1.990459561370000e-01	1.103677135000000e-02
2.007015347470000e-01	1.081013865800000e-02
2.023565471170000e-01	1.058002002500000e-02
2.040110528470000e-01	1.034815609500000e-02
2.056650221370000e-01	1.011627726300000e-02
2.073184847870000e-01	9.886071085900000e-03
2.089714705970000e-01	9.659151546700001e-03
2.106239795670000e-01	9.437031112600001e-03
2.122760117070000e-01	9.221096523100001e-03
2.139275670070000e-01	9.012587368500000e-03
2.155787050770000e-01	8.812582120300000e-03
2.172293663070000e-01	8.621982298800001e-03
2.188796102970000e-01	8.441504091000000e-03
2.205294668670000e-01	8.271674625600000e-03
