time	force
0.000000000000000e+00	2.546179390000000e+01
2.043149434000000e-03	2.546179390000000e+01
4.086298868100000e-03	2.546179390000000e+01
6.129448767800000e-03	2.546179390000000e+01
8.172597736100001e-03	2.546179390000000e+01
1.021574717000000e-02	2.546179390000000e+01
1.225889753600000e-02	2.546179390000000e+01
1.430204697000000e-02	2.546179390000000e+01
1.634519547200000e-02	2.546179390000000e+01
1.838834583800000e-02	2.546179390000000e+01
2.043149434000000e-02	2.546179390000000e+01
2.247464470600000e-02	2.546179390000000e+01
2.451779507100000e-02	2.546179390000000e+01
2.656094357400000e-02	2.546179390000000e+01
2.860409393900000e-02	2.546179390000000e+01
3.064724244200000e-02	2.546179390000000e+01
3.269039094400000e-02	2.546179390000000e+01
3.473354131000000e-02	2.546179390000000e+01
3.677669167500000e-02	2.546179390000000e+01
3.881984204100000e-02	2.546179390000000e+01
4.086298868100000e-02	2.546179390000000e+01
4.290613904600000e-02	2.546179390000000e+01
4.494928941100000e-02	2.546179390000000e+01
4.699243977700000e-02	2.546179390000000e+01
4.903559014200000e-02	2.546179390000000e+01
5.107873678200000e-02	2.546179390000000e+01
5.312188714700000e-02	2.546179390000000e+01
5.516503751300000e-02	2.546179390000000e+01
5.720818787800000e-02	2.546179390000000e+01
5.925133824300000e-02	2.546179390000000e+01
6.129448488400000e-02	2.546179390000000e+01
6.333763152400000e-02	2.546179390000000e+01
6.538078188900000e-02	2.546179390000000e+01
6.742393225399999e-02	2.546179390000000e+01
6.946708262000000e-02	2.546179390000000e+01
7.151023298500001e-02	2.546179390000000e+01
7.355338335000000e-02	2.546179390000000e+01
7.559653371600000e-02	2.546179390000000e+01
7.763968408100000e-02	2.546179390000000e+01
7.968283444599999e-02	2.546179390000000e+01
8.172597736100000e-02	2.546179390000000e+01
8.376912772700000e-02	2.546179390000000e+01
8.581227809200000e-02	2.546179390000000e+01
8.785542845700001e-02	2.546179390000000e+01
8.989857882299999e-02	2.546179390000000e+01
9.194172918800000e-02	2.549837684600000e+01
9.398487955300000e-02	2.558513641400000e+01
9.602802991900000e-02	2.569642639200000e+01
9.807118028400000e-02	2.582649612400000e+01
1.001143306500000e-01	2.597518920900000e+01
1.021574735600000e-01	2.614281272900000e+01
1.042006239300000e-01	2.632953643800000e+01
1.062437742900000e-01	2.653346252400000e+01
1.082869246600000e-01	2.673715019200000e+01
1.103300750300000e-01	2.694139099100000e+01
1.123732253900000e-01	2.714602470400000e+01
1.144163757600000e-01	2.735063171400000e+01
1.164595261200000e-01	2.755475044300000e+01
1.185026764900000e-01	2.775795936600000e+01
1.205458268500000e-01	2.795988273600000e+01
1.225889697700000e-01	2.816019439700000e+01
1.246321201300000e-01	2.835861778300000e+01
1.266752630500000e-01	2.855491066000000e+01
1.287184208600000e-01	2.874887466400000e+01
1.307615637800000e-01	2.894033241300000e+01
1.328047215900000e-01	2.912914276100000e+01
1.348478645100000e-01	2.931517982500000e+01
1.368910223200000e-01	2.949834632900000e+01
1.389341652400000e-01	2.967855835000000e+01
1.409773230600000e-01	2.985575103800000e+01
1.430204659700000e-01	3.002987480200000e+01
1.450636088800000e-01	3.020088768000000e+01
1.471067667000000e-01	3.036876869200000e+01
1.491499096200000e-01	3.053349876400000e+01
1.511930674300000e-01	3.069507408100000e+01
1.532362103500000e-01	3.085349464400000e+01
1.552793681600000e-01	3.100877380400000e+01
1.573225110800000e-01	3.116092491100000e+01
1.593656688900000e-01	3.130997085600000e+01
1.614088118100000e-01	3.145593833900000e+01
1.634519547200000e-01	3.159885978700000e+01
1.654951125400000e-01	3.173876953100000e+01
1.675382554500000e-01	3.187570762600000e+01
1.695814132700000e-01	3.200971603400000e+01
1.716245561800000e-01	3.214083480800000e+01
1.736677140000000e-01	3.226911544800000e+01
1.757108569100000e-01	3.239460372900000e+01
1.777540147300000e-01	3.251734542800000e+01
1.797971576500000e-01	3.263739776600000e+01
1.818403154600000e-01	3.275480651900000e+01
1.838834583800000e-01	3.286962127700000e+01
1.859266012900000e-01	3.298189926100000e+01
1.879697591100000e-01	3.309169387800000e+01
1.900129020200000e-01	3.319904708900000e+01
1.920560598400000e-01	3.330402374300000e+01
1.940992027500000e-01	3.340666580200000e+01
1.961423605700000e-01	3.350703048700000e+01
1.981855034800000e-01	3.360516357400000e+01
2.002286613000000e-01	3.370112228400000e+01
2.022718042100000e-01	3.379494857800000e+01
2.043149471300000e-01	3.388669967700000e+01
2.063581049400000e-01	3.397641754200000e+01
2.084012478600000e-01	3.406415176400000e+01
2.104444056700000e-01	3.414994812000000e+01
2.124875485900000e-01	3.423385238600000e+01
2.145307064100000e-01	3.431591033900000e+01
2.165738493200000e-01	3.439616775500000e+01
2.186170071400000e-01	3.447466659500000e+01
2.206601500500000e-01	3.455144500700000e+01
2.227033078700000e-01	3.462655258200000e+01
2.247464507800000e-01	3.470001983600000e+01
2.267895937000000e-01	3.477189254800000e+01
2.288327515100000e-01	3.484220886200000e+01
2.308758944300000e-01	3.491100311300000e+01
2.329190522400000e-01	3.497831344600000e+01
2.349621951600000e-01	3.504417800900000e+01
2.370053529700000e-01	3.510862731900000e+01
2.390484958900000e-01	3.517169952400000e+01
2.410916537000000e-01	3.523342514000000e+01
2.431347966200000e-01	3.529383850100000e+01
2.451779395300000e-01	3.535296630900000e+01
2.472210973500000e-01	3.541084671000000e+01
2.492642402600000e-01	3.546750259400000e+01
2.513073980800000e-01	3.552296829200000e+01
2.533505260900000e-01	3.557726669300000e+01
2.553936839100000e-01	3.563042831400000e+01
2.574368417300000e-01	3.568247985800000e+01
2.594799995400000e-01	3.573345184300000e+01
2.615231275600000e-01	3.578335952800000e+01
2.635662853700000e-01	3.583223724400000e+01
2.656094431900000e-01	3.588010406500000e+01
2.676525712000000e-01	3.592698669400000e+01
2.696957290200000e-01	3.597290420500000e+01
2.717388868300000e-01	3.601787948600000e+01
2.737820446500000e-01	3.606193542500000e+01
2.758251726600000e-01	3.610509491000000e+01
2.778683304800000e-01	3.614737701400000e+01
2.799114882900000e-01	3.618880081200000e+01
2.819546461100000e-01	3.622938537600000e+01
2.839977741200000e-01	3.626914978000000e+01
2.860409319400000e-01	3.630811691300000e+01
2.880840897600000e-01	3.634629821800000e+01
2.901272177700000e-01	3.638371276900000e+01
2.921703755900000e-01	3.642038345300000e+01
2.942135334000000e-01	3.645631790200000e+01
2.962566912200000e-01	3.649154281600000e+01
2.982998192300000e-01	3.652606201200000e+01
3.003429770500000e-01	3.655990219100000e+01
3.023861348600000e-01	3.659307098400000e+01
3.044292628800000e-01	3.662558364900000e+01
3.064724206900000e-01	3.665745544400000e+01
3.085155785100000e-01	3.668870544400000e+01
3.105587363200000e-01	3.671933746300000e+01
3.126018643400000e-01	3.674937439000000e+01
3.146450221500000e-01	3.677882003800000e+01
3.166881799700000e-01	3.680769348100000e+01
3.187313377900000e-01	3.683600616500000e+01
3.207744658000000e-01	3.686376953100000e+01
3.228176236200000e-01	3.689099121100000e+01
3.248607814300000e-01	3.691768646200000e+01
3.269039094400000e-01	3.694387054400000e+01
3.289470672600000e-01	3.696954345700000e+01
3.309902250800000e-01	3.699472427400000e+01
3.330333828900000e-01	3.701942443800000e+01
3.350765109100000e-01	3.704364776600000e+01
3.371196687200000e-01	3.706740570100000e+01
3.391628265400000e-01	3.709070968600000e+01
3.412059843500000e-01	3.711356735200000e+01
3.432491123700000e-01	3.713599395800000e+01
3.452922701800000e-01	3.715798950200000e+01
3.473354280000000e-01	3.717956543000000e+01
3.493785560100000e-01	3.720073318500000e+01
3.514217138300000e-01	3.722150039700000e+01
3.534648716400000e-01	3.724187469500000e+01
3.555080294600000e-01	3.726186370800000e+01
3.575511574700000e-01	3.728147506700000e+01
3.595943152900000e-01	3.730071640000000e+01
3.616374731100000e-01	3.731959533700000e+01
3.636806309200000e-01	3.733811950700000e+01
3.657237589400000e-01	3.735629272500000e+01
3.677669167500000e-01	3.737412643400000e+01
3.698100745700000e-01	3.739162826500000e+01
3.718532025800000e-01	3.740880203200000e+01
3.738963604000000e-01	3.742565155000000e+01
3.759395182100000e-01	3.744218826300000e+01
3.779826760300000e-01	3.745841598500000e+01
3.800258040400000e-01	3.747434234600000e+01
3.820689618600000e-01	3.748997116100000e+01
3.841121196700000e-01	3.750531005900000e+01
3.861552476900000e-01	3.752036285400000e+01
3.881984055000000e-01	3.753513717700000e+01
3.902415633200000e-01	3.754963684100000e+01
3.922847211400000e-01	3.756386566200000e+01
3.943278491500000e-01	3.757783508300000e+01
3.963710069700000e-01	3.759154510500000e+01
3.984141647800000e-01	3.760499954200000e+01
4.004573226000000e-01	3.761820602400000e+01
4.025004506100000e-01	3.763117218000000e+01
4.045436084300000e-01	3.764389801000000e+01
4.065867662400000e-01	3.765638732900000e+01
4.086298942600000e-01	3.766864776600000e+01
4.106730520700000e-01	3.768068313600000e+01
4.127162098900000e-01	3.769250106800000e+01
4.147593677000000e-01	3.770409774800000e+01
4.168024957200000e-01	3.771548080400000e+01
4.188456535300000e-01	3.772665786700000e+01
4.208888113500000e-01	3.773762893700000e+01
4.229319691700000e-01	3.774840164200000e+01
4.249750971800000e-01	3.775897598300000e+01
4.270182550000000e-01	3.776935577400000e+01
4.290614128100000e-01	3.777954864500000e+01
4.311045408200000e-01	3.778955078100000e+01
4.331476986400000e-01	3.779937362700000e+01
4.351908564600000e-01	3.780901718100000e+01
4.372340142700000e-01	3.781848526000000e+01
4.392771422900000e-01	3.782778167700000e+01
4.413203001000000e-01	3.783691024800000e+01
4.433634579200000e-01	3.784587097200000e+01
4.454066157300000e-01	3.785466766400000e+01
4.474497437500000e-01	3.786330413800000e+01
4.494929015600000e-01	3.787178802500000e+01
4.515360593800000e-01	3.788011550900000e+01
4.535791873900000e-01	3.788829040500000e+01
4.556223452100000e-01	3.789631652800000e+01
4.576655030300000e-01	3.790420150800000e+01
4.597086608400000e-01	3.791194152800000e+01
4.617517888500000e-01	3.791954040500000e+01
4.637949466700000e-01	3.792700195300000e+01
4.658381044900000e-01	3.793432998700000e+01
4.678812325000000e-01	3.794152450600000e+01
4.699243903200000e-01	3.794859314000000e+01
4.719675481300000e-01	3.795552825900000e+01
4.740107059500000e-01	3.796234130900000e+01
4.760538339600000e-01	3.796903228800000e+01
4.780969917800000e-01	3.797560119600000e+01
4.801401495900000e-01	3.798205184900000e+01
4.821833074100000e-01	3.798838424700000e+01
4.842264354200000e-01	3.799460601800000e+01
4.862695932400000e-01	3.800071334800000e+01
4.883127510500000e-01	3.800671386700000e+01
4.903558790700000e-01	3.801260376000000e+01
4.923990368800000e-01	3.801838684100000e+01
4.944421947000000e-01	3.802406692500000e+01
4.964853525200000e-01	3.802964782700000e+01
4.985284805300000e-01	3.803512573200000e+01
5.005716085400000e-01	3.804050445600000e+01
5.026147961600000e-01	3.804578781100000e+01
5.046579241800000e-01	3.805097580000000e+01
5.067010521899999e-01	3.805607223500000e+01
5.087442398100001e-01	3.806107711800000e+01
5.107873678200000e-01	3.806599044800000e+01
5.128304958300000e-01	3.807081985500000e+01
5.148736834500000e-01	3.807555770900000e+01
