vel	force
0.000000000000000e+00	2.523504257200000e+01
4.870682023500000e-03	2.492515564000000e+01
2.720068767700000e-02	2.350580406200000e+01
4.809325560900000e-02	2.209159660300000e+01
6.720694154500000e-02	2.068375206000000e+01
8.415584266200000e-02	1.930824279800000e+01
1.000762581800000e-01	1.794809532200000e+01
1.131843924500000e-01	1.665716552700000e+01
1.255792677400000e-01	1.538755321500000e+01
1.355143338400000e-01	1.419931221000000e+01
1.443787664200000e-01	1.305445957200000e+01
1.516359597400000e-01	1.197474288900000e+01
1.573064029200000e-01	1.097013282800000e+01
1.621382832500000e-01	1.000521373700000e+01
1.649918854200000e-01	9.146139144899999e+00
1.673109382400000e-01	8.317680358900001e+00
1.680938750500000e-01	7.580140113800000e+00
1.681133210700000e-01	6.891883850100000e+00
1.672625839700000e-01	6.259799957300000e+00
1.653590053300000e-01	5.700931549100000e+00
1.630531698500000e-01	5.170341491700000e+00
1.596363633900000e-01	4.722421169300000e+00
1.558693945400000e-01	4.302148342100000e+00
1.514752507200000e-01	3.931396007500000e+00
1.465408504000000e-01	3.809747457500000e+00
1.413064301000000e-01	3.809747457500000e+00
