simulation	experiment
0.000000000000000e+00	6.719955056900000e-02
6.701830425300000e-04	6.719955056900000e-02
1.340366085100000e-03	6.719955056900000e-02
2.680732170100000e-03	6.719955056900000e-02
3.350915154400000e-03	6.719955056900000e-02
4.691281355900000e-03	6.719955056900000e-02
5.361464340200000e-03	6.719955056900000e-02
6.701830308900000e-03	6.719955056900000e-02
7.372013293200000e-03	6.719955056900000e-02
8.712379261899999e-03	6.719955056900000e-02
9.382562711800000e-03	6.719955056900000e-02
1.072292868000000e-02	6.719955056900000e-02
1.139311119900000e-02	6.719955056900000e-02
1.273347809900000e-02	6.719955056900000e-02
1.340366061800000e-02	6.719955056900000e-02
1.474402658600000e-02	6.719960272300000e-02
1.541421003600000e-02	6.720142811500000e-02
1.675457507400000e-02	6.736333668199999e-02
1.742475852400000e-02	6.794109940500000e-02
1.876512542400000e-02	7.455194741500000e-02
1.943530701100000e-02	8.559501916200001e-02
2.077567391100000e-02	1.542789638000000e-01
2.144585736100000e-02	2.362224012600000e-01
2.278622239800000e-02	5.522770881700000e-01
2.345640584800000e-02	7.848322987600000e-01
2.479677274800000e-02	1.358104944200000e+00
2.546695619800000e-02	1.679866075500000e+00
2.680732123600000e-02	2.353974342300000e+00
2.747750468600000e-02	2.694631338100000e+00
2.881787158500000e-02	3.363389730500000e+00
2.948805317300000e-02	3.686563015000000e+00
3.082842007300000e-02	4.303342819200000e+00
3.149860352300000e-02	4.595417499500000e+00
3.283896669700000e-02	5.125091075900000e+00
3.350915014700000e-02	5.363465309100000e+00
3.484951704700000e-02	5.797206401800000e+00
3.551970049700000e-02	5.995466232300000e+00
3.686006739700000e-02	6.360341072100000e+00
3.753025084700000e-02	6.528724670400000e+00
3.887061402200000e-02	6.840995311700000e+00
3.954079747200000e-02	6.986078739200000e+00
4.088116437200000e-02	7.256666660300000e+00
4.155134782200000e-02	7.383030414600000e+00
4.289171472200000e-02	7.619750499700000e+00
4.356189817200000e-02	7.730749607100000e+00
4.490226507200000e-02	7.939433097800000e+00
4.557244479700000e-02	8.037611961400000e+00
4.691281169700000e-02	8.222740173300000e+00
4.758299514700000e-02	8.310079574600000e+00
4.892336204600000e-02	8.475179672199999e+00
4.959354549600000e-02	8.553252220199999e+00
5.093391239600000e-02	8.701148986800000e+00
5.160409212100000e-02	8.771227836600000e+00
5.294445902100000e-02	8.904223442099999e+00
5.361464247100000e-02	8.967350006100000e+00
5.495500937100000e-02	9.087343215900001e+00
5.562519282100000e-02	9.144384384200000e+00
5.696555972100000e-02	9.252960205100001e+00
5.763574317100000e-02	9.304641723600000e+00
5.897610634600000e-02	9.403136253400000e+00
5.964628979600000e-02	9.450074195899999e+00
6.098665669600000e-02	9.539623260500001e+00
6.165684014600000e-02	9.582342147800000e+00
6.299720704599999e-02	9.663921356199999e+00
6.366738677000000e-02	9.702874183700001e+00
6.433757394600000e-02	9.740661621099999e+00
6.567793339500000e-02	9.812902450599999e+00
6.634812057000000e-02	9.847434043900000e+00
6.768848747000000e-02	9.913499832199999e+00
6.835866719500000e-02	9.945101738000000e+00
6.969903409500000e-02	1.000560188300000e+01
7.036922127000000e-02	1.003456115700000e+01
7.170958071899999e-02	1.009003448500000e+01
7.237976789500000e-02	1.011660289800000e+01
7.372013479500000e-02	1.016752433800000e+01
7.439031451899999e-02	1.019192504900000e+01
7.573068141900000e-02	1.023871612500000e+01
7.640086859500000e-02	1.026114749900000e+01
7.774122804399999e-02	1.030418300600000e+01
7.841141521900000e-02	1.032482242600000e+01
7.975178211900000e-02	1.036443710300000e+01
8.042196184400000e-02	1.038344383200000e+01
8.176232874400000e-02	1.041993713400000e+01
8.243251591900000e-02	1.043745327000000e+01
8.377287536899999e-02	1.047109508500000e+01
8.444306254400000e-02	1.048724842100000e+01
8.578342944400000e-02	1.051828289000000e+01
8.645360916900000e-02	1.053318786600000e+01
8.779397606800000e-02	1.056183338200000e+01
8.846416324400000e-02	1.057559490200000e+01
8.980453014400000e-02	1.060204982800000e+01
9.047470986800001e-02	1.061476326000000e+01
9.181507676800001e-02	1.063920784000000e+01
9.248525649300000e-02	1.065095710800000e+01
9.382562339300000e-02	1.067355537400000e+01
9.449581056799999e-02	1.068441963200000e+01
9.583617746799999e-02	1.070531845100000e+01
9.650635719300001e-02	1.071536922500000e+01
9.784672409300001e-02	1.073470592500000e+01
9.851690381800000e-02	1.074400615700000e+01
9.985727071800000e-02	1.076190376300000e+01
1.005274578900000e-01	1.077051353500000e+01
1.018678247900000e-01	1.078708553300000e+01
1.025380045200000e-01	1.079505920400000e+01
1.038783714200000e-01	1.081040763900000e+01
1.045485511400000e-01	1.081779384600000e+01
1.058889180400000e-01	1.083201503800000e+01
1.065591052200000e-01	1.083885860400000e+01
1.078994721200000e-01	1.085203838300000e+01
1.085696518400000e-01	1.085838222500000e+01
1.099100187400000e-01	1.087060070000000e+01
1.105801984700000e-01	1.087648201000000e+01
1.119205653700000e-01	1.088781166100000e+01
1.125907525400000e-01	1.089326667800000e+01
1.139311194400000e-01	1.090377426100000e+01
1.146012991700000e-01	1.090883445700000e+01
1.159416660700000e-01	1.091858291600000e+01
1.166118457900000e-01	1.092327785500000e+01
1.179522126900000e-01	1.093232345600000e+01
1.186223998700000e-01	1.093668079400000e+01
1.199627667700000e-01	1.094507598900000e+01
1.206329464900000e-01	1.094912052200000e+01
1.219733133900000e-01	1.095691394800000e+01
1.226434931200000e-01	1.096066856400000e+01
1.239838600200000e-01	1.096790599800000e+01
1.246540471900000e-01	1.097139167800000e+01
1.259944140900000e-01	1.097811222100000e+01
1.266645938200000e-01	1.098135089900000e+01
1.273347735400000e-01	1.098451042200000e+01
1.286751478900000e-01	1.099060058600000e+01
1.293453276200000e-01	1.099353599500000e+01
1.306856870700000e-01	1.099919509900000e+01
1.313558667900000e-01	1.100192165400000e+01
1.326962411400000e-01	1.100718021400000e+01
1.333664208700000e-01	1.100971412700000e+01
1.347067952200000e-01	1.101460075400000e+01
1.353769749400000e-01	1.101695632900000e+01
1.367173343900000e-01	1.102149868000000e+01
1.373875141100000e-01	1.102368831600000e+01
1.387278884600000e-01	1.102791118600000e+01
1.393980681900000e-01	1.102994728100000e+01
1.407384425400000e-01	1.103387355800000e+01
1.414086222600000e-01	1.103576660200000e+01
1.427489817100000e-01	1.103941822100000e+01
1.434191614400000e-01	1.104117965700000e+01
1.447595357900000e-01	1.104457569100000e+01
1.454297155100000e-01	1.104621315000000e+01
1.467700898600000e-01	1.104937267300000e+01
1.474402695900000e-01	1.105089569100000e+01
1.487806290400000e-01	1.105383586900000e+01
1.494508087600000e-01	1.105525302900000e+01
1.507911831100000e-01	1.105798816700000e+01
1.514613628400000e-01	1.105930709800000e+01
1.528017371900000e-01	1.106185340900000e+01
1.534719169100000e-01	1.106308078800000e+01
1.548122763600000e-01	1.106545066800000e+01
1.554824560900000e-01	1.106659317000000e+01
1.568228304400000e-01	1.106879901900000e+01
1.574930101600000e-01	1.106986331900000e+01
1.588333845100000e-01	1.107191658000000e+01
1.595035642400000e-01	1.107290744800000e+01
1.608439236900000e-01	1.107481956500000e+01
1.615141034100000e-01	1.107574272200000e+01
1.628544777600000e-01	1.107752323200000e+01
1.635246574900000e-01	1.107838344600000e+01
1.648650318400000e-01	1.108004188500000e+01
1.655352115600000e-01	1.108084297200000e+01
1.668755710100000e-01	1.108238792400000e+01
1.675457507400000e-01	1.108313465100000e+01
1.688861250900000e-01	1.108457469900000e+01
1.695563048100000e-01	1.108526992800000e+01
1.708966791600000e-01	1.108661174800000e+01
1.715668588900000e-01	1.108725929300000e+01
1.729072183400000e-01	1.108851051300000e+01
1.735774129600000e-01	1.108911418900000e+01
1.749177724100000e-01	1.109028053300000e+01
1.755879521400000e-01	1.109084320100000e+01
1.769283264900000e-01	1.109193038900000e+01
1.775985062100000e-01	1.109245491000000e+01
1.789388656600000e-01	1.109346962000000e+01
1.796090602900000e-01	1.109395885500000e+01
1.809494197400000e-01	1.109490394600000e+01
1.816195994600000e-01	1.109536075600000e+01
1.829599738100000e-01	1.109624290500000e+01
1.836301535400000e-01	1.109666919700000e+01
1.849705129900000e-01	1.109749126400000e+01
1.856407076100000e-01	1.109788894700000e+01
1.869810670600000e-01	1.109865665400000e+01
1.876512467900000e-01	1.109902763400000e+01
1.889916211400000e-01	1.109974479700000e+01
1.896618008600000e-01	1.110009002700000e+01
1.903319805900000e-01	1.110042858100000e+01
1.916723549400000e-01	1.110108280200000e+01
1.923425346600000e-01	1.110139846800000e+01
1.936828941100000e-01	1.110200882000000e+01
1.943530738400000e-01	1.110230350500000e+01
1.956934481900000e-01	1.110287380200000e+01
1.963636279100000e-01	1.110314941400000e+01
1.977040022600000e-01	1.110368156400000e+01
1.983741819900000e-01	1.110393810300000e+01
1.997145414400000e-01	1.110443592100000e+01
